DATE,IPB53122S
2020-01-01,110.5515
2020-02-01,108.8976
2020-03-01,109.3279
2020-04-01,106.8112
2020-05-01,106.8730
2020-06-01,109.0272
2020-07-01,111.5130
2020-08-01,111.7589
2020-09-01,113.9348
2020-10-01,117.3378
2020-11-01,118.1193
2020-12-01,118.3077
2021-01-01,121.2750
